query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage,event_time
ef3c7723-5fc8-415b-b32b-1b8527b2cd3e,107,717218,11421568,1,16960900,2026-08-02 05:44:51
eaa12c19-a17a-487f-a783-20162debd87f,116,717218,11421568,1,21211927,2026-08-02 05:44:51
c1157f98-69b8-4d8d-839c-d94550c8c6ec,124,722456,12191843,1,20435888,2026-08-02 05:44:52
a3222125-9f8a-46e1-b1ab-2aaafefcf8f8,116,719837,12154747,1,19876823,2026-08-02 05:44:52
171c933b-5424-4234-9e5f-e4a9fe4824fa,117,717218,11421568,1,16938676,2026-08-02 05:44:52
85728ba6-2975-422a-ae08-d621b0cbb25d,127,722456,12190067,1,18691889,2026-08-02 05:44:52
6cc92e63-6801-4922-9082-964af8d86c4d,137,727694,12961219,1,24792445,2026-08-02 05:44:53
a3b203f7-4a62-46fe-8a9e-abc92876e7c5,112,722410,12864632,1,37188989,2026-08-02 05:44:53
